Year,Value
2000,0
2001,59 
2002,0
2003 ,63
2004,0
2005 ,64
2006,0
2007 ,67
2008,0
2009 ,67
2010,0
2011 ,67
2012,0
2013 ,68
2014,0
2015 ,69
