Year,Value
1999,90.07415859
2000,0
2001,0
2002,0
2003,93.547
2004,0
2005,0
2006,0
2007,92.55402794
2008,0
2009,0
2010,0
2011,93.915
2012,0
2013,0
2014,0
2015,93.863
