Year,Value
2000,0
2001,0
2002,1104.08
2003,1508.40
2004,2818.22
2005,4352.18
2006,4394.81
2007,3334.93
2008,3574.48
2009,3538.17
2010,4093.41
2011,3985.72
2012,3532.49
2013,3337.34
2014,3166.75
2015,2836.55
2016,0
2017,0
