Year,Value
2000,.69
2001,.69
2002,.69
2003,.70
2004,.70
2005,.70
2006,.70
2007,.70
2008,.70
2009,.70
2010,.70
2011,.70
2012,.64
2013,.69
2014,.70
2015,.70
2016,.69
