Year,Value
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6.7
2007,6.4
2008,6.1
2009,5.7
2010,5.8
2011,5.7
2012,5.5
2013,5.4
2014,5.6
2015,5.5
2016,5.8
