Year,Value
1999,4.4
2000,4.5
2001,4.9
2002,6.1
2003,6.7
2004,7.2
2005,8.0
2006,9.2
2007,9.9
2008,10.2
2009,10.4
2010,10.7
2011,11.6
2012,11.6
2013,12.3
2014,13.2
2015,14.8
