Year,Value
2000,8686
2001,8853
2002,9024
2003,9364
2004,9890
2005,10407
2006,10829
2007,11142
2008,11084
2009,10410
2010,10855
2011,11523
2012,11894
2013,12113
2014,12451
2015,12558
2016,12744
