Year,Value
1999,606.6
2000,597.4
2001,586.2
2002,582.0
2003,572.2
2004,549.9
2005,548.7
2006,529.7
2007,520.6
2008,520.1
2009,506.7
2010,506.0
2011,504.7
2012,504.3
2013,508.1
2014,507.6
2015,517.3
