Year,Value
1999,10.5
2000,10.4
2001,10.7
2002,11.0
2003,10.9
2004,11.1
2005,11.0
2006,11.2
2007,11.5
2008,11.8
2009,12.0
2010,12.4
2011,12.7
2012,12.9
2013,13.0
2014,13.4
2015,13.8
