Year,Value
2000,0
2001,0.06
2002,0
2003,0
2004,0.07
2005,0.23
2006,0
2007,0
2008,0.03
2009,0
2010,0
2011,0
2012,0.06
2013,0
2014,0
2015,0
2016,0
