Year,Value
2000,0.0
2001,0.0
2002,0.0
2003,2.29
2004,2.26
2005,2.27
2006,2.23
2007,2.22
2008,2.13
2009,2.24
2010,2.14
2011,2.16
2012,2.17
2013,2.19
2014,2.14
2015,2.23
2016,2.24
