Year,Value
2000,0.69
2001,0.69
2002,0.69
2003,0.7
2004,0.7
2005,0.7
2006,0.7
2007,0.7
2008,0.7
2009,0.7
2010,0.7
2011,0.7
2012,0.64
2013,0.69
2014,0.7
2015,0.7
2016,0.69
