Value,Disaggregation combinations using this value,Number of indicators
crnt_srpls_govt_entrprs,1,1
crnt_trnsfr_rcpts,1,1
crnt_tx_rcpts,1,1
ctrbtns_govt_soc_ins,1,1
inc_rcpts_asts,1,1
