Year,Value
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,82.0
2008,92.3
2009,98.1
2010,98.5
2011,99.4
2012,99.5
2013,99.7
2014,0.0
2015,99.9
2016,99.9
