Year,Value
2000,829775
2001,782956
2002,778157
2003,813687
2004,898327
2005,939489
2006,947052
2007,977779
2008,938717
2009,887941
2010,908788
2011,926359
2012,934226
2013,949018
2014,978114
2015,1033047
2016,0
2017,0
