Year,Value
2000,11.9
2001,11.4
2002,10.7
2003,10.2
2004,9.9
2005,9.7
2006,9.5
2007,9.3
2008,9.0
2009,8.3
2010,8.2
2011,8.2
2012,8.2
2013,8.2
2014,8.1
2015,8.1
2016,8.0
2017,7.9
